Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
200205ts	75	False	real	LR	60	2	15	   12.00	1	   -8.00	0	0	1099716.00	15	0	NULL
200205ts	76	False	real	JR	61	2	15	   12.00	1	   -8.00	0	0	1103969.00	-15	0	NULL
200205ts	77	False	real	DL	62	2	15	  -12.00	0	    8.00	0	0	1111333.00	15	7	NULL
200205ts	78	False	real	AL	63	2	-15	  -12.00	0	    8.00	0	0	  516.00	-15	7	NULL
200205ts	79	False	real	FR	64	2	-15	   12.00	1	   -8.00	0	0	  464.44	-3	5	NULL
200205ts	80	False	real	ER	65	2	-15	   12.00	1	   -8.00	0	0	  464.15	-3	7	NULL
200205ts	81	False	real	IL	66	2	-15	  -12.00	0	    8.00	0	0	1130907.00	-15	0	NULL
200205ts	83	False	real	RL	67	2	15	-20	0	    4.00	1	1	  584.57	-15	5	NULL
200205ts	85	False	real	GR	68	2	15	   12.00	1	   -8.00	0	0	  662.39	-3	7	NULL
200205ts	86	False	real	CR	69	2	-15	   12.00	1	   -8.00	0	0	1180667.00	15	7	NULL
200205ts	87	False	real	LL	70	2	15	  -12.00	0	    8.00	0	0	1186975.00	15	0	NULL
200205ts	89	False	real	PL	71	2	15	  -12.00	0	    8.00	0	0	1195822.00	15	5	NULL
200205ts	91	False	real	QL	72	2	-15	  -12.00	0	    8.00	0	0	  556.76	-15	5	NULL
200205ts	92	False	real	HL	73	3	15	   -4.00	0	    8.00	0	0	  564.92	-3	5	NULL
200205ts	93	False	real	CR	74	3	-15	    4.00	1	   -8.00	0	0	1217149.00	15	7	NULL
200205ts	94	False	real	ML	75	3	-15	   -4.00	1	   -4.00	1	1	1225861.00	-3	0	NULL
200205ts	95	False	real	DR	76	3	15	    4.00	0	    4.00	1	1	1234636.00	15	7	NULL
200205ts	96	False	real	KL	77	3	-15	   -4.00	0	    8.00	0	0	1240587.00	15	0	NULL
200205ts	97	False	real	GR	78	3	15	    4.00	0	    4.00	1	1	 1025.75	-3	7	NULL
200205ts	99	False	real	MR	79	3	-15	    4.00	1	   -8.00	0	0	1256249.00	-3	0	NULL
200205ts	101	False	real	QL	80	3	-15	   -4.00	0	    8.00	0	0	  632.57	-15	5	NULL
200205ts	102	False	real	OR	81	3	-15	    4.00	1	   -8.00	0	0	1271737.00	15	5	NULL
200205ts	103	False	real	KR	82	3	-15	    4.00	1	   -8.00	0	0	1277190.00	15	0	NULL
200205ts	104	False	real	DL	83	3	15	   -4.00	0	    8.00	0	0	1283891.00	15	7	NULL
200205ts	105	False	real	NL	84	3	15	   -4.00	0	    8.00	0	0	1292616.00	-3	0	NULL
200205ts	106	False	real	BL	85	3	15	   -4.00	0	    8.00	0	0	  611.98	-15	7	NULL
