Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
200218KN	72	False	real	OL	60	2	-15	  -12.00	0	    8.00	0	0	2276461.00	15	5	NULL
200218KN	73	False	real	QL	61	2	-15	  -12.00	0	    8.00	0	0	  558.90	-15	5	NULL
200218KN	74	False	real	EL	62	2	-15	  -12.00	0	    8.00	0	0	  750.42	-3	7	NULL
200218KN	75	False	real	QR	63	2	-15	   12.00	1	   -8.00	0	0	  407.59	-15	5	NULL
200218KN	77	False	real	DR	64	2	15	   12.00	1	   -8.00	0	0	2299384.00	15	7	NULL
200218KN	78	False	real	PR	65	2	15	   12.00	1	   -8.00	0	0	2304883.00	15	5	NULL
200218KN	79	False	real	RL	66	2	15	  -12.00	0	    8.00	0	0	  436.43	-15	5	NULL
200218KN	80	False	real	GR	67	2	15	   12.00	1	   -8.00	0	0	  561.53	-3	7	NULL
200218KN	82	False	real	JL	68	2	15	  -12.00	0	    8.00	0	0	2323233.00	-15	0	NULL
200218KN	83	False	real	IL	69	2	-15	  -12.00	0	    8.00	0	0	2327964.00	-15	0	NULL
200218KN	84	False	real	KR	70	2	-15	   12.00	1	   -8.00	0	0	2333584.00	15	0	NULL
200218KN	85	False	real	ER	71	2	-15	   12.00	1	   -8.00	0	0	  354.78	-3	7	NULL
200218KN	86	False	real	DL	72	2	15	  -12.00	0	    8.00	0	0	2343309.00	15	7	NULL
200218KN	87	False	real	BR	73	3	15	    4.00	1	   -8.00	0	0	  586.44	-15	7	NULL
200218KN	88	False	real	NL	74	3	15	   -4.00	0	    8.00	0	0	2353422.00	-3	0	NULL
200218KN	89	False	real	ER	75	3	-15	    4.00	1	   -8.00	0	0	  452.10	-3	7	NULL
200218KN	91	False	real	AR	76	3	-15	    4.00	1	   -8.00	0	0	  625.37	-15	7	NULL
200218KN	92	False	real	KR	77	3	-15	    4.00	1	   -8.00	0	0	2373647.00	15	0	NULL
200218KN	93	False	real	QL	78	3	-15	   -4.00	0	    8.00	0	0	  382.53	-15	5	NULL
200218KN	94	False	real	RL	79	3	15	   -4.00	0	    8.00	0	0	  426.97	-15	5	NULL
200218KN	96	False	real	JR	80	3	15	    4.00	1	   -8.00	0	0	2391802.00	-15	0	NULL
200218KN	99	False	real	CL	81	3	-15	   -4.00	0	    8.00	0	0	2402544.00	15	7	NULL
200218KN	100	False	real	KL	82	3	-15	   -4.00	1	   -4.00	1	1	2407395.00	15	0	NULL
200218KN	102	False	real	RR	83	3	15	    4.00	1	   -8.00	0	0	  534.76	-15	5	NULL
200218KN	103	False	real	FL	84	3	-15	   -4.00	0	    8.00	0	0	  367.38	-3	5	NULL
200218KN	104	False	real	IR	85	3	-15	    4.00	1	   -8.00	0	0	2428043.00	-15	0	NULL
200218KN	105	False	real	JL	86	3	15	   -4.00	0	    8.00	0	0	2432264.00	-15	0	NULL
200218KN	107	False	real	NR	87	3	15	    4.00	0	    4.00	1	1	2440755.00	-3	0	NULL
200218KN	108	False	real	HR	88	3	15	    4.00	0	    4.00	1	1	  940.72	-3	5	NULL
200218KN	109	False	real	GR	89	3	15	    4.00	0	    4.00	1	1	 1421.25	-3	7	NULL
200218KN	110	False	real	LR	90	3	15	    4.00	1	   -8.00	0	0	2459997.00	15	0	NULL
200218KN	112	False	real	GL	91	3	15	   -4.00	0	    8.00	0	0	  457.44	-3	7	NULL
200218KN	113	False	real	OL	92	3	-15	   -4.00	0	    8.00	0	0	2475606.00	15	5	NULL
200218KN	116	False	real	PL	93	3	15	   -4.00	0	    8.00	0	0	2488851.00	15	5	NULL
200218KN	117	False	real	OR	94	3	-15	    4.00	1	   -8.00	0	0	2495310.00	15	5	NULL
200218KN	121	False	real	LL	95	3	15	   -4.00	0	    8.00	0	0	2513343.00	15	0	NULL
200218KN	122	False	real	QR	96	3	-15	    4.00	1	   -8.00	0	0	  374.47	-15	5	NULL
200218KN	123	False	real	DL	97	3	15	   -4.00	0	    8.00	0	0	2522239.00	15	7	NULL
200218KN	124	False	real	EL	98	3	-15	   -4.00	0	    8.00	0	0	  419.45	-3	7	NULL
200218KN	125	False	real	BL	99	3	15	   -4.00	0	    8.00	0	0	  442.59	-15	7	NULL
200218KN	126	False	real	AL	100	3	-15	   -4.00	0	    8.00	0	0	  657.04	-15	7	NULL
200218KN	127	False	real	ML	101	3	-15	   -4.00	0	    8.00	0	0	2542418.00	-3	0	NULL
200218KN	128	False	real	MR	102	3	-15	    4.00	1	   -8.00	0	0	2547632.00	-3	0	NULL
200218KN	129	False	real	CR	103	3	-15	    4.00	1	   -8.00	0	0	2552381.00	15	7	NULL
200218KN	131	False	real	HL	104	3	15	   -4.00	0	    8.00	0	0	  478.85	-3	5	NULL
200218KN	132	False	real	DR	105	3	15	    4.00	0	    4.00	1	1	2565430.00	15	7	NULL
200218KN	133	False	real	FR	106	3	-15	    4.00	1	   -8.00	0	0	  389.74	-3	5	NULL
200218KN	134	False	real	PR	107	3	15	    4.00	0	    4.00	1	1	2579984.00	15	5	NULL
200218KN	135	False	real	IL	108	3	-15	   -4.00	0	    8.00	0	0	2588664.00	-15	0	NULL
200218KN	136	False	real	JL	109	4	15	    4.00	1	   -4.00	1	1	2596444.00	-15	0	NULL
200218KN	137	False	real	DR	110	4	15	    8.00	1	   -2.00	1	2	2602704.00	15	7	NULL
200218KN	138	False	real	NL	111	4	15	    4.00	0	    8.00	0	0	2607900.00	-3	0	NULL
200218KN	139	False	real	BL	112	4	15	    4.00	0	    8.00	0	0	  712.98	-15	7	NULL
200218KN	140	False	real	PR	113	4	15	    8.00	0	    4.00	0	1	2618793.00	15	5	NULL
200218KN	141	False	real	IL	114	4	-15	    4.00	1	   -4.00	1	1	2623255.00	-15	0	NULL
200218KN	142	False	real	OL	115	4	-15	    4.00	1	   -4.00	1	1	2633616.00	15	5	NULL
200218KN	144	False	real	GL	116	4	15	    4.00	0	    8.00	0	0	  652.76	-3	7	NULL
200218KN	145	False	real	HL	117	4	15	    4.00	1	   -4.00	1	1	  389.18	-3	5	NULL
200218KN	146	False	real	RR	118	4	15	   -4.00	0	    4.00	1	1	  412.92	-15	5	NULL
200218KN	149	False	real	MR	119	4	-15	   -4.00	0	    4.00	1	1	2664478.00	-3	0	NULL
200218KN	151	False	real	AR	120	4	-15	   -4.00	0	    4.00	1	1	  428.18	-15	7	NULL
200218KN	152	False	real	FR	121	4	-15	   -4.00	0	    4.00	1	1	 1013.18	-3	5	NULL
200218KN	153	False	real	FL	122	4	-15	    4.00	1	   -4.00	1	1	  396.10	-3	5	NULL
200218KN	156	False	real	QL	123	4	-15	    4.00	1	   -4.00	1	1	  405.07	-15	5	NULL
