Session_Name_	Trial_Index_	Trial_Recycled_	TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
200305JL	1	False	real	QR	1	1	-15	   20.00	1	   -8.00	0	0	  971.46	-15	5	NULL
200305JL	4	False	real	RL	2	1	15	  -20.00	0	    8.00	0	0	  582.29	-15	5	NULL
200305JL	5	False	real	LL	3	1	15	  -20.00	0	    8.00	0	0	620306.00	15	0	NULL
200305JL	6	False	real	OR	4	1	-15	   20.00	1	   -8.00	0	0	629225.00	15	5	NULL
200305JL	7	False	real	AR	5	1	-15	   20.00	1	   -8.00	0	0	  466.46	-15	7	NULL
200305JL	8	False	real	FL	6	1	-15	  -20.00	0	    8.00	0	0	  554.39	-3	5	NULL
200305JL	9	False	real	CR	7	1	-15	   20.00	1	   -8.00	0	0	701756.00	15	7	NULL
200305JL	10	False	real	JR	8	1	15	   20.00	1	   -8.00	0	0	706759.00	-15	0	NULL
200305JL	11	False	real	NR	9	1	15	   20.00	1	   -8.00	0	0	712210.00	-3	0	NULL
200305JL	12	False	real	BL	10	1	15	  -20.00	0	    8.00	0	0	  668.77	-15	7	NULL
200305JL	13	False	real	NL	11	1	15	  -20.00	0	    8.00	0	0	724543.00	-3	0	NULL
200305JL	15	False	real	KL	12	1	-15	  -20.00	0	    8.00	0	0	735354.00	15	0	NULL
200305JL	16	False	real	IL	13	1	-15	  -20.00	0	    8.00	0	0	740802.00	-15	0	NULL
200305JL	17	False	real	EL	14	1	-15	  -20.00	0	    8.00	0	0	  615.95	-3	7	NULL
200305JL	18	False	real	HL	15	1	15	  -20.00	0	    8.00	0	0	  612.91	-3	5	NULL
200305JL	20	False	real	RR	16	1	15	   20.00	1	   -8.00	0	0	  714.08	-15	5	NULL
200305JL	21	False	real	QL	17	1	-15	  -20.00	0	    8.00	0	0	  456.72	-15	5	NULL
200305JL	23	False	real	GR	18	1	15	   20.00	1	   -8.00	0	0	  499.55	-3	7	NULL
200305JL	24	False	real	OL	19	1	-15	  -20.00	0	    8.00	0	0	780108.00	15	5	NULL
200305JL	25	False	real	DL	20	1	15	  -20.00	0	    8.00	0	0	785867.00	15	7	NULL
200305JL	26	False	real	IR	21	1	-15	   20.00	1	   -8.00	0	0	794459.00	-15	0	NULL
200305JL	31	False	real	AL	22	1	-15	  -20.00	0	    8.00	0	0	  729.19	-15	7	NULL
200305JL	32	False	real	BR	23	1	15	   20.00	1	   -8.00	0	0	  711.03	-15	7	NULL
200305JL	39	False	real	CL	24	1	-15	  -20.00	0	    8.00	0	0	931349.00	15	7	NULL
200305JL	41	False	real	FR	25	1	-15	   20.00	1	   -8.00	0	0	  578.28	-3	5	NULL
200305JL	43	False	real	JL	26	1	15	  -20.00	0	    8.00	0	0	1005115.00	-15	0	NULL
200305JL	46	False	real	ER	27	1	-15	   20.00	1	   -8.00	0	0	  610.35	-3	7	NULL
200305JL	47	False	real	ML	28	1	-15	  -20.00	0	    8.00	0	0	1027480.00	-3	0	NULL
200305JL	48	False	real	MR	29	1	-15	   20.00	1	   -8.00	0	0	1032680.00	-3	0	NULL
200305JL	49	False	real	PR	30	1	15	   20.00	1	   -8.00	0	0	1037635.00	15	5	NULL
200305JL	50	False	real	GL	31	1	15	  -20.00	0	    8.00	0	0	  418.49	-3	7	NULL
200305JL	51	False	real	KR	32	1	-15	   20.00	1	   -8.00	0	0	1049517.00	15	0	NULL
200305JL	52	False	real	HR	33	1	15	   20.00	1	   -8.00	0	0	  439.30	-3	5	NULL
200305JL	53	False	real	DR	34	1	15	   20.00	1	   -8.00	0	0	1060807.00	15	7	NULL
200305JL	54	False	real	LR	35	1	15	   20.00	1	   -8.00	0	0	1066555.00	15	0	NULL
200305JL	55	False	real	PL	36	1	15	  -20.00	0	    8.00	0	0	1071958.00	15	5	NULL
200305JL	57	False	real	BR	37	2	15	   12.00	1	   -8.00	0	0	  564.46	-15	7	NULL
200305JL	58	False	real	FL	38	2	-15	  -12.00	0	    8.00	0	0	  423.05	-3	5	NULL
200305JL	61	False	real	JR	39	2	15	   12.00	1	   -8.00	0	0	1102234.00	-15	0	NULL
200305JL	63	False	real	OL	40	2	-15	  -12.00	0	    8.00	0	0	1114131.00	15	5	NULL
200305JL	65	False	real	DR	41	2	15	   12.00	1	   -8.00	0	0	1124992.00	15	7	NULL
200305JL	66	False	real	ER	42	2	-15	   12.00	1	   -8.00	0	0	  467.69	-3	7	NULL
200305JL	67	False	real	KR	43	2	-15	   12.00	1	   -8.00	0	0	1135835.00	15	0	NULL
200305JL	68	False	real	PR	44	2	15	   12.00	1	   -8.00	0	0	1141753.00	15	5	NULL
200305JL	69	False	real	LL	45	2	15	  -12.00	0	    8.00	0	0	1146767.00	15	0	NULL
200305JL	70	False	real	AR	46	2	-15	   12.00	1	   -8.00	0	0	  405.22	-15	7	NULL
200305JL	71	False	real	HL	47	2	15	  -12.00	0	    8.00	0	0	  375.90	-3	5	NULL
200305JL	72	False	real	OR	48	2	-15	   12.00	1	   -8.00	0	0	1164475.00	15	5	NULL
200305JL	73	False	real	GL	49	2	15	  -12.00	0	    8.00	0	0	  354.41	-3	7	NULL
200305JL	74	False	real	LR	50	2	15	   12.00	1	   -8.00	0	0	1174266.00	15	0	NULL
